date,hawaii,honolulu,maui,kauai,total
2020-05-28,0,2,0,0,2
2020-05-29,0,3,0,0,3
2020-05-30,0,2,1,0,3
2020-05-31,0,0,0,0,0
2020-06-01,0,0,0,0,0
2020-06-02,0,1,0,0,1
2020-06-03,0,1,0,0,1
2020-06-04,0,1,0,0,1
2020-06-05,0,6,0,0,6
2020-06-06,0,8,0,0,8
2020-06-07,0,1,0,0,1
2020-06-08,0,1,0,0,1
2020-06-09,0,6,0,0,6
2020-06-10,0,4,0,0,4
2020-06-11,0,6,0,0,6
2020-06-12,0,15,0,0,15
2020-06-13,0,17,0,0,17
2020-06-14,1,4,0,0,5
2020-06-15,0,8,0,0,8
2020-06-16,0,3,0,0,3
2020-06-17,1,5,0,0,6
2020-06-18,0,18,0,0,18
2020-06-19,0,24,1,1,26
2020-06-20,0,4,1,7,12
2020-06-21,2,8,0,0,10
2020-06-22,0,4,0,0,4
2020-06-23,0,3,0,0,3
2020-06-24,1,12,0,0,13
2020-06-25,0,12,0,3,15
2020-06-26,0,14,0,2,16
2020-06-27,0,5,0,1,6
2020-06-28,1,23,0,2,26
2020-06-29,0,3,0,0,3
2020-06-30,0,16,1,1,18
2020-07-01,0,5,2,0,7
2020-07-02,3,18,0,0,21
2020-07-03,1,25,2,0,28
2020-07-04,2,20,1,2,25
2020-07-05,0,26,0,0,26
2020-07-06,1,6,0,0,7
2020-07-07,1,39,0,2,42
2020-07-08,1,19,2,0,22
2020-07-09,1,32,0,1,34
2020-07-10,1,26,2,0,29
2020-07-11,2,39,2,0,43
2020-07-12,1,18,1,0,20
2020-07-13,1,18,1,0,20
2020-07-14,3,19,0,0,22
2020-07-15,2,26,0,0,28
2020-07-16,0,20,0,0,20
2020-07-17,2,22,0,0,24
2020-07-18,1,18,0,0,19
2020-07-19,2,26,0,0,28
2020-07-20,1,12,0,0,13
2020-07-21,0,20,3,0,23
2020-07-22,0,17,0,0,17
2020-07-23,2,49,2,0,53
2020-07-24,0,57,1,0,58
2020-07-25,0,67,4,0,71
2020-07-26,0,59,7,2,68
2020-07-27,0,28,0,0,28
2020-07-28,0,47,1,0,48
2020-07-29,0,101,9,2,112
2020-07-30,0,119,4,0,123
2020-07-31,0,122,3,0,125
2020-08-01,0,88,0,0,88
2020-08-02,0,45,1,0,46
2020-08-03,2,198,6,0,206
2020-08-04,4,138,1,0,143
2020-08-05,0,170,1,0,171
2020-08-06,1,145,4,0,150
2020-08-07,0,200,2,0,202
2020-08-08,4,222,4,0,230
2020-08-09,3,145,3,1,152
2020-08-10,0,138,1,1,140
2020-08-11,1,115,4,0,120
2020-08-12,2,195,1,2,200
2020-08-13,5,342,6,1,354
2020-08-14,4,216,10,1,231
2020-08-15,3,273,10,1,287
2020-08-16,4,200,15,0,219
2020-08-17,4,164,8,0,176
2020-08-18,3,125,6,0,134
2020-08-19,7,232,20,0,259
2020-08-20,5,227,2,0,234
2020-08-21,14,208,6,2,230
2020-08-22,16,256,10,0,282
2020-08-23,8,229,12,0,249
2020-08-24,9,151,9,0,169
2020-08-25,11,202,6,0,219
2020-08-26,23,243,8,0,274
2020-08-27,10,287,8,0,305
2020-08-28,26,231,7,0,264
2020-08-29,39,264,7,0,310
2020-08-30,21,172,4,0,197
2020-08-31,25,104,1,0,130
2020-09-01,19,157,5,0,181
2020-09-02,34,302,3,0,339
2020-09-03,17,188,6,0,211
2020-09-04,34,231,2,0,267
2020-09-05,23,191,4,1,219
2020-09-06,13,145,3,0,161
2020-09-07,11,89,5,0,105
2020-09-08,6,59,2,0,67
2020-09-09,13,86,2,0,101
2020-09-10,8,158,3,0,169
2020-09-11,21,144,5,0,170
2020-09-12,8,113,7,0,128
2020-09-13,19,93,2,0,114
2020-09-14,7,72,2,0,81
2020-09-15,5,61,0,0,66
2020-09-16,4,95,0,0,99
2020-09-17,20,135,3,0,158
2020-09-18,9,110,0,0,119
2020-09-19,7,103,2,0,112
2020-09-20,5,71,1,0,77
2020-09-21,7,50,0,0,57
2020-09-22,8,53,1,0,62
2020-09-23,13,153,2,0,168
2020-09-24,6,80,4,0,90
2020-09-25,14,97,0,1,112
2020-09-26,3,123,0,1,127
2020-09-27,7,87,0,0,94
2020-09-28,0,89,0,0,89
2020-09-29,3,80,2,0,85
2020-09-30,25,96,1,0,122
2020-10-01,6,101,0,0,107
2020-10-02,16,69,1,0,86
2020-10-03,43,86,3,0,132
2020-10-04,15,53,1,0,69
2020-10-05,10,41,0,0,51
2020-10-06,13,67,1,0,81
2020-10-07,18,91,1,0,110
2020-10-08,14,87,1,0,102
2020-10-09,44,107,0,1,152
2020-10-10,15,58,2,0,75
2020-10-11,24,80,0,0,104
2020-10-12,5,37,0,0,42
2020-10-13,21,30,11,0,62
2020-10-14,18,80,2,0,100
2020-10-15,13,75,2,0,90
2020-10-16,20,69,0,0,89
2020-10-17,12,81,0,1,94
2020-10-18,14,68,0,0,82
2020-10-19,7,31,0,0,38
2020-10-20,23,59,3,0,85
2020-10-21,9,64,4,0,77
2020-10-22,29,52,18,0,99
2020-10-23,34,66,29,0,129
2020-10-24,16,58,15,0,89
2020-10-25,51,49,18,1,119
2020-10-26,9,26,0,0,35
2020-10-27,3,50,11,0,64
2020-10-28,5,40,9,1,55
2020-10-29,7,61,2,1,71
2020-10-30,14,73,7,1,95
2020-10-31,15,46,3,0,64
2020-11-01,26,53,0,1,80
2020-11-02,5,64,3,1,73
2020-11-03,7,74,4,1,86
2020-11-04,22,123,5,0,150
2020-11-05,22,67,5,1,95
2020-11-06,21,86,8,1,116
2020-11-07,11,108,2,2,123
2020-11-08,19,105,2,0,126
2020-11-09,4,54,0,0,58
2020-11-10,2,65,7,0,74
2020-11-11,23,85,7,3,118
2020-11-12,15,71,6,1,93
2020-11-13,8,94,3,2,107
2020-11-14,13,89,3,3,108
2020-11-15,9,76,9,2,96
2020-11-16,7,36,2,0,45
2020-11-17,2,55,3,0,60
2020-11-18,11,77,11,4,103
2020-11-19,13,69,9,1,92
2020-11-20,17,123,11,4,155
2020-11-21,14,97,8,6,125
2020-11-22,10,80,11,3,104
2020-11-23,6,45,5,1,57
2020-11-24,2,96,8,1,107
2020-11-25,11,92,18,3,124
2020-11-26,5,70,5,5,85
2020-11-27,16,49,10,1,76
2020-11-28,4,45,4,1,54
2020-11-29,4,67,11,1,83
2020-11-30,6,31,4,0,41
2020-12-01,2,61,8,1,72
2020-12-02,5,117,14,3,139
2020-12-03,13,72,16,3,104
2020-12-04,12,83,19,0,114
2020-12-05,5,86,14,0,105
2020-12-06,10,56,12,1,79
2020-12-07,6,38,11,0,55
2020-12-08,12,46,20,1,79
2020-12-09,23,82,14,2,121
2020-12-10,3,56,20,2,81
2020-12-11,17,151,27,5,200
2020-12-12,10,58,13,4,85
2020-12-13,16,157,16,0,189
2020-12-14,11,37,8,0,56
2020-12-15,5,86,20,0,111
2020-12-16,15,113,11,0,139
2020-12-17,7,105,17,1,130
2020-12-18,21,114,17,1,153
2020-12-19,14,179,13,0,206
2020-12-20,13,104,14,1,132
2020-12-21,6,54,7,0,67
2020-12-22,12,71,19,0,102
2020-12-23,14,79,36,1,130
2020-12-24,8,96,21,0,125
2020-12-25,4,84,21,3,112
2020-12-26,3,75,18,1,97
2020-12-27,2,32,15,1,50
2020-12-28,7,58,9,0,74
2020-12-29,2,89,26,1,118
2020-12-30,14,135,32,0,181
2020-12-31,13,191,32,1,237
2021-01-01,21,92,53,2,168
2021-01-02,2,87,34,1,124
2021-01-03,4,61,11,0,76
2021-01-04,12,74,23,0,109
2021-01-05,8,87,35,3,133
2021-01-06,18,210,61,1,290
2021-01-07,10,200,28,3,241
2021-01-08,21,159,54,0,234
2021-01-09,12,127,33,9,181
2021-01-10,20,109,35,1,165
2021-01-11,4,84,23,0,111
2021-01-12,7,75,12,2,96
2021-01-13,13,122,35,1,171
2021-01-14,5,115,27,1,148
2021-01-15,12,113,35,1,161
2021-01-16,7,85,33,1,126
2021-01-17,9,84,22,2,117
2021-01-18,6,47,12,0,65
2021-01-19,4,54,20,1,79
2021-01-20,14,71,32,0,117
2021-01-21,5,100,23,1,129
2021-01-22,4,103,31,0,138
2021-01-23,6,103,40,0,149
2021-01-24,6,87,20,0,113
2021-01-25,1,63,9,0,73
2021-01-26,3,65,32,0,100
2021-01-27,6,67,25,0,98
2021-01-28,6,78,25,0,109
2021-01-29,10,81,20,1,112
2021-01-30,10,60,10,0,80
2021-01-31,7,60,20,0,87
2021-02-01,5,40,17,0,62
2021-02-02,4,41,23,0,68
2021-02-03,6,86,16,0,108
2021-02-04,1,69,30,0,100
2021-02-05,0,92,16,1,109
2021-02-06,7,48,15,0,70
2021-02-07,3,21,12,0,36
2021-02-08,3,24,7,0,34
2021-02-09,2,44,10,0,56
2021-02-10,3,64,21,0,88
2021-02-11,5,34,24,0,63
2021-02-12,2,46,14,0,62
2021-02-13,3,35,4,0,42
2021-02-14,0,26,7,0,33
2021-02-15,0,13,3,0,16
2021-02-16,1,16,9,0,26
2021-02-17,7,49,9,1,66
2021-02-18,2,24,21,0,47
2021-02-19,2,35,13,0,50
2021-02-20,4,34,32,0,70
2021-02-21,2,22,30,1,55
2021-02-22,0,27,17,0,44
2021-02-23,2,19,21,1,43
2021-02-24,1,24,18,0,43
2021-02-25,1,26,15,1,43
2021-02-26,3,24,47,0,74
2021-02-27,4,41,18,0,63
2021-02-28,2,19,8,0,29
2021-03-01,3,19,13,0,35
2021-03-02,0,9,12,1,22
2021-03-03,4,40,19,0,63
2021-03-04,4,32,18,0,54
2021-03-05,8,37,48,0,93
2021-03-06,8,27,13,2,50
2021-03-07,10,24,12,0,46
2021-03-08,7,23,19,0,49
2021-03-09,6,33,20,0,59
2021-03-10,8,35,19,0,62
2021-03-11,15,36,22,0,73
2021-03-12,7,39,24,0,70
2021-03-13,4,38,20,0,62
2021-03-14,7,25,17,1,50
2021-03-15,8,36,8,0,52
2021-03-16,5,43,26,0,74
2021-03-17,7,44,46,0,97
2021-03-18,7,57,41,0,105
2021-03-19,9,61,28,0,98
2021-03-20,5,47,30,0,82
2021-03-21,9,55,24,1,89
2021-03-22,1,28,12,0,41
2021-03-23,7,30,33,1,71
2021-03-24,12,90,29,0,131
2021-03-25,14,69,47,0,130
2021-03-26,14,69,36,1,120
2021-03-27,15,64,32,0,111
2021-03-28,10,52,40,0,102
2021-03-29,6,48,18,0,72
2021-03-30,17,42,39,1,99
2021-03-31,8,77,36,0,121
2021-04-01,13,85,33,5,136
2021-04-02,10,82,29,1,122
2021-04-03,17,55,29,0,101
2021-04-04,14,54,26,0,94
2021-04-05,4,31,23,0,58
2021-04-06,8,53,22,2,85
2021-04-07,11,80,41,1,133
2021-04-08,5,72,16,0,93
2021-04-09,12,76,28,0,116
2021-04-10,6,76,15,0,97
2021-04-11,4,51,16,0,71
2021-04-12,6,39,19,0,64
2021-04-13,16,42,19,0,77
2021-04-14,14,58,27,0,99
2021-04-15,4,65,17,0,86
2021-04-16,11,50,38,1,100
2021-04-17,10,101,6,0,117
2021-04-18,2,55,12,0,69
2021-04-19,1,30,15,0,46
2021-04-20,7,47,18,3,75
2021-04-21,9,81,8,2,100
2021-04-22,4,79,15,0,98
2021-04-23,4,49,7,2,62
2021-04-24,6,100,12,3,121
2021-04-25,3,44,9,11,67
2021-04-26,5,38,12,2,57
2021-04-27,1,59,13,2,75
2021-04-28,5,90,27,6,128
2021-04-29,5,86,15,12,118
2021-04-30,8,73,23,17,121
2021-05-01,3,81,18,9,111
2021-05-02,5,49,12,7,73
2021-05-03,2,62,12,1,77
2021-05-04,2,42,10,6,60
2021-05-05,10,101,12,4,127
2021-05-06,4,89,15,8,116
2021-05-07,6,77,8,2,93
2021-05-08,8,55,18,0,81
2021-05-09,0,39,12,5,56
2021-05-10,3,51,10,2,66
2021-05-11,1,36,10,0,47
2021-05-12,7,52,21,0,80
2021-05-13,3,63,14,2,82
2021-05-14,3,80,15,1,99
2021-05-15,3,100,12,2,117
2021-05-16,6,61,8,0,75
2021-05-17,0,51,2,3,56
2021-05-18,6,48,12,0,66
2021-05-19,3,52,6,0,61
2021-05-20,3,46,4,2,55
2021-05-21,2,64,18,0,84
2021-05-22,7,34,3,1,45
2021-05-23,6,26,8,0,40
2021-05-24,2,15,2,1,20
2021-05-25,8,31,6,0,45
2021-05-26,6,41,10,0,57
2021-05-27,6,23,6,0,35
2021-05-28,10,29,6,0,45
2021-05-29,64,49,7,0,120
2021-05-30,0,23,8,1,32
2021-05-31,20,23,3,3,49
2021-06-01,0,14,7,1,22
2021-06-02,2,32,1,1,36
2021-06-03,25,27,18,0,70
2021-06-04,7,39,11,1,58
2021-06-05,37,30,16,0,83
2021-06-06,3,19,14,0,36
2021-06-07,2,15,12,1,30
2021-06-08,5,22,14,0,41
2021-06-09,9,28,9,1,47
2021-06-10,27,27,10,1,65
2021-06-11,47,32,14,1,94
2021-06-12,2,20,10,0,32
2021-06-13,5,26,13,7,51
2021-06-14,9,13,7,2,31
2021-06-15,2,24,2,1,29
2021-06-16,2,25,1,3,31
2021-06-17,7,16,16,2,41
2021-06-18,31,22,6,3,62
2021-06-19,14,41,12,1,68
2021-06-20,2,14,0,0,16
2021-06-21,4,11,4,1,20
2021-06-22,12,29,2,1,44
2021-06-23,6,29,14,7,56
2021-06-24,2,27,7,2,38
2021-06-25,11,44,3,0,58
2021-06-26,12,26,8,3,49
2021-06-27,2,17,2,0,21
2021-06-28,2,18,6,0,26
2021-06-29,9,36,5,0,50
2021-06-30,5,35,1,7,48
2021-07-01,6,45,4,9,64
2021-07-02,4,25,9,11,49
2021-07-03,7,35,3,3,48
2021-07-04,5,36,1,1,43
2021-07-05,2,29,4,1,36
2021-07-06,9,23,2,1,35
2021-07-07,7,41,7,6,61
2021-07-08,10,40,3,7,60
2021-07-09,20,59,4,2,85
2021-07-10,15,57,12,8,92
2021-07-11,18,26,9,7,60
2021-07-12,7,43,2,4,56
2021-07-13,8,27,9,2,46
2021-07-14,18,92,19,14,143
2021-07-15,24,98,10,9,141
2021-07-16,19,82,4,12,117
2021-07-17,18,103,16,6,143
2021-07-18,22,81,13,4,120
2021-07-19,15,79,10,1,105
2021-07-20,9,105,12,4,130
2021-07-21,52,142,17,8,219
2021-07-22,42,151,11,12,216
2021-07-23,44,147,33,7,231
2021-07-24,70,164,30,6,270
2021-07-25,36,102,18,0,156
2021-07-26,28,109,16,5,158
2021-07-27,15,46,22,3,86
2021-07-28,58,141,34,10,243
2021-07-29,107,358,65,10,540
2021-07-30,106,321,36,9,472
2021-07-31,97,278,64,8,447
2021-08-01,78,227,53,11,369
2021-08-02,69,271,40,6,386
2021-08-03,58,221,25,5,309
2021-08-04,123,424,61,7,615
2021-08-05,113,436,77,9,635
2021-08-06,102,416,64,17,599
2021-08-07,121,441,63,22,647
2021-08-08,69,291,47,16,423
2021-08-09,78,283,44,15,420
2021-08-10,75,292,63,17,447
2021-08-11,121,278,60,53,512
2021-08-12,160,841,134,46,1181
2021-08-13,136,549,76,14,775
2021-08-14,134,532,72,47,785
2021-08-15,81,429,61,14,585
2021-08-16,77,311,37,16,441
2021-08-17,89,397,65,24,575
2021-08-18,165,429,104,26,724
2021-08-19,168,537,94,26,825
2021-08-20,134,508,126,26,794
2021-08-21,163,541,102,37,843
2021-08-22,109,415,98,23,645
2021-08-23,107,327,80,17,531
2021-08-24,96,364,74,43,577
2021-08-25,182,563,99,31,875
2021-08-26,175,609,111,37,932
2021-08-27,124,743,87,30,984
2021-08-28,203,1192,137,56,1588
2021-08-29,138,502,80,33,753
2021-08-30,64,471,45,12,592
2021-08-31,61,243,61,37,402
2021-09-01,165,689,123,40,1017
2021-09-02,125,513,121,45,804
2021-09-03,132,559,116,42,849
2021-09-04,96,512,82,30,720
2021-09-05,120,466,83,63,732
2021-09-06,55,360,48,44,507
2021-09-07,94,215,64,19,392
2021-09-08,56,288,47,34,425
2021-09-09,135,477,80,42,734
2021-09-10,109,574,91,33,807
2021-09-11,112,490,58,56,716
2021-09-12,80,328,42,27,477
2021-09-13,39,315,35,13,402
2021-09-14,68,322,45,21,456
2021-09-15,97,400,51,36,584
2021-09-16,87,401,67,39,594
2021-09-17,76,327,56,46,505
2021-09-18,76,298,46,45,465
2021-09-19,60,281,40,31,412
2021-09-20,40,216,24,14,294
2021-09-21,37,211,30,29,307
2021-09-22,82,255,48,30,415
2021-09-23,73,251,38,27,389
2021-09-24,69,283,36,18,406
2021-09-25,54,247,38,31,370
2021-09-26,38,164,20,32,254
2021-09-27,25,183,10,9,227
2021-09-28,45,164,13,14,236
2021-09-29,58,203,36,20,317
2021-09-30,86,221,33,12,352
2021-10-01,46,166,29,15,256
2021-10-02,66,166,21,30,283
2021-10-03,36,106,15,14,171
2021-10-04,9,60,11,7,87
2021-10-05,43,99,17,11,170
2021-10-06,49,167,33,28,277
2021-10-07,52,120,15,9,196
2021-10-08,41,111,15,9,176
2021-10-09,33,117,10,28,188
2021-10-10,19,69,10,10,108
2021-10-11,6,41,4,2,53
2021-10-12,34,67,13,4,118
2021-10-13,39,78,14,8,139
2021-10-14,28,90,10,10,138
2021-10-15,37,62,16,10,125
2021-10-16,28,88,13,7,136
2021-10-17,29,52,16,13,110
2021-10-18,15,42,13,2,72
2021-10-19,36,79,21,10,146
2021-10-20,25,95,19,8,147
2021-10-21,39,67,14,7,127
2021-10-22,48,102,19,10,179
2021-10-23,28,79,4,12,123
2021-10-24,27,47,11,7,92
2021-10-25,15,30,3,12,60
2021-10-26,31,116,10,32,189
2021-10-27,50,55,21,9,135
2021-10-28,30,80,25,20,155
2021-10-29,19,64,16,21,120
2021-10-30,34,62,21,15,132
2021-10-31,12,38,9,10,69
2021-11-01,17,20,2,7,46
2021-11-02,30,106,12,25,173
2021-11-03,29,53,20,7,109
2021-11-04,25,64,13,12,114
2021-11-05,20,42,12,7,81
2021-11-06,30,69,14,29,142
2021-11-07,28,40,8,32,108
2021-11-08,18,40,6,17,81
2021-11-09,33,64,14,17,128
2021-11-10,26,51,18,32,127
2021-11-11,24,55,16,22,117
2021-11-12,15,48,22,13,98
2021-11-13,26,57,12,6,101
2021-11-14,22,38,14,19,93
2021-11-15,10,41,6,4,61
2021-11-16,15,97,7,13,132
2021-11-17,26,87,20,22,155
2021-11-18,23,101,24,17,165
2021-11-19,35,56,18,20,129
2021-11-20,16,47,24,10,97
2021-11-21,8,37,21,12,78
2021-11-22,11,26,7,9,53
2021-11-23,18,60,18,21,117
2021-11-24,18,32,22,4,76
2021-11-25,5,20,5,0,30
2021-11-26,26,69,25,27,147
2021-11-27,16,74,13,8,111
2021-11-28,2,27,17,16,62
2021-11-29,2,26,14,25,67
2021-11-30,3,46,19,9,77
2021-12-01,17,51,18,26,112
2021-12-02,10,58,14,18,100
2021-12-03,20,54,19,13,106
